120102 Tom          Zhou                                                        
Sales Manager        06/01/1993 $108,255                                        
M 08/11/1973 AU                                                                 
120103 Wilson       Dawes                                                       
Sales Manager        01/01/1978  $87,975                                        
M 01/22/1953 AU                                                                 
120121 Irenie       Elvish                                                      
Sales Rep. II        01/01/1978  $26,600                                        
F 08/02/1948 AU                                                                 
120122 Christina    Ngan                                                        
Sales Rep. II        07/01/1982  $27,475                                        
F 07/27/1958 AU                                                                 
120123 Kimiko       Hotstone                                                    
Sales Rep. I         10/01/2011  $26,190                                        
F 09/28/1968 AU                                                                 
120124 Lucian       Daymond                                                     
Sales Rep. I         03/01/2011  $26,480                                        
M 05/13/1963 AU                                                                 
120125 Fong         Hofmeister                                                  
Sales Rep. IV        03/01/1983  $32,040                                        
M 12/06/1958 AU                                                                 
120126 Satyakam     Denny                                                       
Sales Rep. II        08/01/2010  $26,780                                        
M 09/20/1992 AU                                                                 
120127 Sharryn      Clarkson                                                    
Sales Rep. II        11/01/2002  $28,100                                        
F 01/04/1983 AU                                                                 
120128 Monica       Kletschkus                                                  
Sales Rep. IV        11/01/2010  $30,890                                        
F 07/14/1990 AU                                                                 
120129 Alvin        Roebuck                                                     
Sales Rep. III       10/01/1989  $30,070                                        
M 11/22/1968 AU                                                                 
120130 Kevin        Lyon                                                        
Sales Rep. I         05/01/2011  $26,955                                        
M 12/14/1988 AU                                                                 
120131 Marinus      Surawski                                                    
Sales Rep. I         01/01/2011  $26,910                                        
M 09/25/1983 AU                                                                 
120132 Fancine      Kaiser                                                      
Sales Rep. III       10/01/1982  $28,525                                        
F 04/05/1953 AU                                                                 
120133 Petrea       Soltau                                                      
Sales Rep. II        10/01/2010  $27,440                                        
F 04/22/1990 AU                                                                 
120134 Sian         Shannan                                                     
Sales Rep. II        01/01/1978  $28,015                                        
M 06/06/1953 AU                                                                 
120135 Alexei       Platts                                                      
Sales Rep. IV        10/01/2001  $32,490                                        
M 01/26/1973 AU                                                                 
120136 Atul         Leyden                                                      
Sales Rep. I         02/01/2011  $26,605                                        
M 09/16/1983 AU                                                                 
120137 Marina       Iyengar                                                     
Sales Rep. III       03/01/2010  $29,715                                        
F 03/12/1983 AU                                                                 
120138 Shani        Duckett                                                     
Sales Rep. I         07/01/2011  $25,795                                        
F 07/11/1983 AU                                                                 
120139 Fang         Wilson                                                      
Sales Rep. II        09/01/2010  $26,810                                        
F 08/18/1990 AU                                                                 
120140 Michael      Minas                                                       
Sales Rep. I         10/01/2011  $26,970                                        
M 08/03/1992 AU                                                                 
120141 Amanda       Liebman                                                     
Sales Rep. II        05/01/2010  $27,465                                        
F 03/12/1992 AU                                                                 
120142 Vincent      Eastley                                                     
Sales Rep. III       07/01/2010  $29,695                                        
M 06/14/1990 AU                                                                 
120143 Phu          Sloey                                                       
Sales Rep. II        10/01/1986  $26,790                                        
M 05/17/1963 AU                                                                 
120144 Viney        Barbis                                                      
Sales Rep. III       10/01/2010  $30,265                                        
M 03/07/1990 AU                                                                 
120145 Sandy        Aisbitt                                                     
Sales Rep. II        06/01/1989  $26,060                                        
M 01/22/1968 AU                                                                 
120146 Wendall      Cederlund                                                   
Sales Rep. I         08/01/2011  $25,985                                        
M 10/02/1963 AU                                                                 
120147 Skev         Rusli                                                       
Sales Rep. II        10/01/2010  $26,580                                        
F 01/19/1992 AU                                                                 
120148 Michael      Zubak                                                       
Sales Rep. III       06/01/1982  $28,480                                        
M 09/13/1953 AU                                                                 
120149 Judy         Chantharasy                                                 
Sales Rep. I         01/01/2011  $26,390                                        
F 11/21/1978 AU                                                                 
120150 John         Filo                                                        
Sales Rep. III       08/01/1986  $29,965                                        
M 07/09/1958 AU                                                                 
120151 Julianna     Phaiyakounh                                                 
Sales Rep. II        01/01/1978  $26,520                                        
F 11/21/1948 AU                                                                 
120152 Sean         Dives                                                       
Sales Rep. I         04/01/2011  $26,515                                        
M 05/01/1983 AU                                                                 
120153 Samantha     Waal                                                        
Sales Rep. I         01/01/2011  $27,260                                        
F 05/07/1983 AU                                                                 
120154 Caterina     Hayawardhana                                                
Sales Rep. III       01/01/1978  $30,490                                        
F 07/20/1948 AU                                                                 
120155 Narelle      James                                                       
Sales Rep. III       04/01/2010  $29,990                                        
F 04/22/1988 AU                                                                 
120156 Gerry        Snellings                                                   
Sales Rep. I         03/01/2011  $26,445                                        
F 09/01/1992 AU                                                                 
120157 Leonid       Karavdic                                                    
Sales Rep. II        12/01/2010  $27,860                                        
M 02/21/1990 AU                                                                 
120158 Daniel       Pilgrim                                                     
Sales Rep. III       07/01/1991  $36,605                                        
M 07/14/1968 AU                                                                 
120159 Lynelle      Phoumirath                                                  
Sales Rep. IV        07/01/1990  $30,765                                        
F 02/24/1968 AU                                                                 
120160 Chuck        Segrave                                                     
Sales Rep. I         10/01/2011  $27,115                                        
M 09/09/1958 AU                                                                 
120161 Rosette      Martines                                                    
Sales Rep. III       10/01/2010  $30,785                                        
F 03/07/1992 AU                                                                 
120162 Randal       Scordia                                                     
Sales Rep. I         02/01/2011  $27,215                                        
M 09/05/1992 AU                                                                 
120163 Brett        Magrath                                                     
Sales Rep. II        01/01/1995  $26,735                                        
M 05/22/1968 AU                                                                 
120164 Ranj         Stamalis                                                    
Sales Rep. II        02/01/1986  $27,450                                        
F 11/26/1963 AU                                                                 
120165 Tadashi      Pretorius                                                   
Sales Rep. I         03/01/2011  $27,050                                        
M 03/19/1988 AU                                                                 
120166 Fadi         Nowd                                                        
Sales Rep. IV        01/01/1978  $30,660                                        
M 06/14/1948 AU                                                                 
120167 Kimiko       Tilley                                                      
Sales Rep. I         02/01/2011  $25,185                                        
F 05/04/1958 AU                                                                 
120168 Selina       Barcoe                                                      
Sales Rep. I         11/01/2011  $25,275                                        
F 03/24/1988 AU                                                                 
120169 Cos          Tannous                                                     
Sales Rep. III       05/01/2010  $28,135                                        
M 01/02/1988 AU                                                                 
120170 Alban        Kingston                                                    
Sales Rep. III       10/01/1996  $28,830                                        
M 02/25/1978 AU                                                                 
120171 Alena        Moody                                                       
Sales Rep. II        09/01/2010  $26,205                                        
F 07/19/1988 AU                                                                 
120172 Edwin        Comber                                                      
Sales Rep. III       01/01/1978  $28,345                                        
M 04/01/1948 AU                                                                 
120173 Hernani      Osborn                                                      
Sales Rep. I         06/01/2011  $26,715                                        
M 02/23/1958 AU                                                                 
120174 Doungkamol   Simms                                                       
Sales Rep. I         01/01/2011  $26,850                                        
F 01/10/1948 AU                                                                 
120175 Andrew       Conolly                                                     
Sales Rep. I         10/01/2011  $25,745                                        
M 08/18/1992 AU                                                                 
120176 Koavea       Pa                                                          
Sales Rep. I         11/01/2011  $26,095                                        
M 11/09/1990 AU                                                                 
120177 Franca       Kierce                                                      
Sales Rep. III       02/01/2002  $28,745                                        
F 04/05/1983 AU                                                                 
120178 Billy        Plested                                                     
Sales Rep. II        04/01/1978  $26,165                                        
M 11/23/1958 AU                                                                 
120179 Matsuoka     Wills                                                       
Sales Rep. III       01/01/2008  $28,510                                        
M 03/15/1978 AU                                                                 
120180 Vino         George                                                      
Sales Rep. II        12/01/1982  $26,970                                        
M 06/27/1958 AU                                                                 
120198 Meera        Body                                                        
Sales Rep. III       12/01/2010  $28,025                                        
F 01/21/1992 AU                                                                 
120261 Harry        Highpoint                                                   
Chief Sales Officer  08/01/1991 $243,190                                        
M 02/21/1973 US                                                                 
121018 Julienne     Magolan                                                     
Sales Rep. II        01/01/1978  $27,560                                        
F 01/03/1948 US                                                                 
121019 Scott        Desanctis                                                   
Sales Rep. IV        06/01/2008  $31,320                                        
M 06/25/1990 US                                                                 
121020 Cherda       Ridley                                                      
Sales Rep. IV        05/01/2006  $31,750                                        
F 02/23/1988 US                                                                 
121021 Priscilla    Farren                                                      
Sales Rep. IV        03/01/1998  $32,985                                        
F 12/10/1978 US                                                                 
121022 Robert       Stevens                                                     
Sales Rep. IV        02/01/2006  $32,210                                        
M 10/28/1983 US                                                                 
121023 Shawn        Fuller                                                      
Sales Rep. I         05/01/2011  $26,010                                        
M 03/13/1968 US                                                                 
121024 Michael      Westlund                                                    
Sales Rep. II        05/01/2008  $26,600                                        
M 09/21/1988 US                                                                 
121025 Barnaby      Cassey                                                      
Sales Rep. II        09/01/1979  $28,295                                        
M 10/10/1953 US                                                                 
121026 Terrill      Jaime                                                       
Sales Rep. IV        04/01/2010  $31,515                                        
M 11/08/1990 US                                                                 
121027 Allan        Rudder                                                      
Sales Rep. II        12/01/1993  $26,165                                        
M 05/05/1968 US                                                                 
121028 William      Smades                                                      
Sales Rep. I         11/01/2011  $26,585                                        
M 04/27/1992 US                                                                 
121029 Kuo-Chung    Mcelwee                                                     
Sales Rep. I         12/01/2011  $27,225                                        
M 12/22/1968 US                                                                 
121030 Jeryl        Areu                                                        
Sales Rep. I         02/01/2011  $26,745                                        
M 11/12/1983 US                                                                 
121031 Scott        Filan                                                       
Sales Rep. III       08/01/1989  $28,060                                        
M 07/09/1968 US                                                                 
121032 Nasim        Smith                                                       
Sales Rep. IV        03/01/2010  $31,335                                        
M 02/24/1992 US                                                                 
121033 Kristie      Snitzer                                                     
Sales Rep. III       06/01/2008  $29,775                                        
F 11/06/1990 US                                                                 
121034 John         Kirkman                                                     
Sales Rep. II        01/01/2011  $27,110                                        
M 08/23/1992 US                                                                 
121035 James        Blackley                                                    
Sales Rep. II        01/01/1978  $26,460                                        
M 03/25/1948 US                                                                 
121036 Teresa       Mesley                                                      
Sales Rep. I         10/01/2011  $25,965                                        
F 07/18/1992 US                                                                 
121037 Muthukumar   Miketa                                                      
Sales Rep. III       03/01/2006  $28,310                                        
M 06/12/1978 US                                                                 
121038 David        Anstey                                                      
Sales Rep. I         08/01/2011  $25,285                                        
M 02/13/1992 US                                                                 
121039 Donald       Washington                                                  
Sales Rep. II        05/01/1984  $27,460                                        
M 06/03/1958 US                                                                 
121040 Brienne      Darrohn                                                     
Sales Rep. III       11/01/1986  $29,525                                        
F 07/06/1963 US                                                                 
121041 Jaime        Wetherington                                                
Sales Rep. II        01/01/1978  $26,120                                        
F 02/04/1948 US                                                                 
121042 Joseph       Robbin-Coker                                                
Sales Rep. III       11/01/2003  $28,845                                        
M 04/04/1983 US                                                                 
121043 Sigrid       Kagarise                                                    
Sales Rep. II        03/01/1996  $28,225                                        
F 11/09/1973 US                                                                 
121044 Ray          Abbott                                                      
Sales Rep. I         08/01/2011  $25,660                                        
M 12/11/1958 US                                                                 
121045 Cascile      Hampton                                                     
Sales Rep. II        01/01/1998  $28,560                                        
F 06/13/1968 US                                                                 
121046 Roger        Mandzak                                                     
Sales Rep. I         07/01/2011  $25,845                                        
M 09/07/1988 US                                                                 
121047 Karen        Grzebien                                                    
Sales Rep. I         09/01/2011  $25,820                                        
F 11/26/1983 US                                                                 
121048 Lawrie       Clark                                                       
Sales Rep. I         09/01/2011  $26,560                                        
F 06/24/1988 US                                                                 
121049 Perrior      Bataineh                                                    
Sales Rep. I         12/01/2011  $26,930                                        
F 02/14/1990 US                                                                 
121050 Patricia     Capristo-Abramczyk                                          
Sales Rep. II        12/01/2010  $26,080                                        
F 01/12/1990 US                                                                 
121051 Glorina      Myers                                                       
Sales Rep. I         11/01/2011  $26,025                                        
F 05/02/1953 US                                                                 
121052 Richard      Fay                                                         
Sales Rep. II        11/01/2010  $26,900                                        
M 01/09/1990 US                                                                 
121053 Tywanna      Mcdade                                                      
Sales Rep. III       02/01/1978  $29,955                                        
F 09/23/1948 US                                                                 
121054 Daniel       Pulliam                                                     
Sales Rep. III       11/01/1980  $29,805                                        
M 11/12/1958 US                                                                 
121055 Clement      Davis                                                       
Sales Rep. III       08/01/2010  $30,185                                        
M 01/08/1992 US                                                                 
121056 Stacey       Lyszyk                                                      
Sales Rep. II        05/01/2007  $28,325                                        
F 07/05/1988 US                                                                 
121057 Tachaun      Voron                                                       
Sales Rep. I         12/01/2011  $25,125                                        
M 12/26/1963 US                                                                 
121058 Del          Kohake                                                      
Sales Rep. I         10/01/2011  $26,270                                        
M 07/12/1978 US                                                                 
121059 Jacqulin     Carhide                                                     
Sales Rep. II        04/01/1985  $27,425                                        
F 10/25/1963 US                                                                 
121060 Elizabeth    Spofford                                                    
Sales Rep. III       01/01/1978  $28,800                                        
F 06/08/1948 US                                                                 
121061 Lauris       Hassam                                                      
Sales Rep. III       07/01/1988  $29,815                                        
M 07/16/1958 US                                                                 
121062 Debra        Armant                                                      
Sales Rep. IV        08/01/2010  $30,305                                        
F 10/28/1988 US                                                                 
121063 Regi         Kinol                                                       
Sales Rep. II        08/01/2009  $35,990                                        
M 07/27/1983 US                                                                 
121064 Asishana     Polky                                                       
Sales Rep. I         09/01/2011  $25,110                                        
M 01/28/1968 US                                                                 
121065 Corneille    Malta                                                       
Sales Rep. III       04/01/2010  $28,040                                        
F 09/05/1988 US                                                                 
121066 Ceresh       Norman                                                      
Sales Rep. II        01/01/1978  $27,250                                        
F 08/23/1948 US                                                                 
121067 Jeanilla     Macnair                                                     
Sales Rep. IV        03/01/2010  $31,865                                        
F 01/18/1990 US                                                                 
121068 Salaheloin   Osuba                                                       
Sales Rep. II        09/01/1996  $27,550                                        
M 12/02/1973 US                                                                 
121069 Jason        Lapsley                                                     
Sales Rep. II        10/01/1994  $26,195                                        
M 03/19/1973 US                                                                 
121070 Agnieszka    Holthouse                                                   
Sales Rep. III       02/01/2010  $29,385                                        
F 11/04/1988 US                                                                 
121071 John         Hoppmann                                                    
Sales Rep. III       09/01/1981  $28,625                                        
M 09/10/1963 US                                                                 
121072 Christer     North                                                       
Sales Rep. I         09/01/2011  $26,105                                        
M 01/10/1983 US                                                                 
121073 Donald       Court                                                       
Sales Rep. I         01/01/2011  $27,100                                        
M 05/15/1953 US                                                                 
121074 Eric         Michonski                                                   
Sales Rep. I         10/01/2011  $26,990                                        
M 03/01/1963 US                                                                 
121075 Kasha        Sugg                                                        
Sales Rep. II        01/01/1978  $28,395                                        
F 12/23/1948 US                                                                 
121076 Micah        Cobb                                                        
Sales Rep. II        01/01/1987  $26,685                                        
M 10/09/1968 US                                                                 
121077 Bryce        Smotherly                                                   
Sales Rep. III       10/01/2010  $28,585                                        
M 09/05/1988 US                                                                 
121078 Lionel       Wende                                                       
Sales Rep. I         11/01/2011  $27,485                                        
M 05/01/1953 US                                                                 
121079 Azmi         Mees                                                        
Sales Rep. I         11/01/2011  $25,770                                        
M 06/03/1978 US                                                                 
121080 Kumar        Chinnis                                                     
Sales Rep. I         09/01/2011  $32,235                                        
M 01/24/1963 US                                                                 
121081 Susie        Knudson                                                     
Sales Rep. III       04/01/1980  $30,235                                        
F 03/28/1953 US                                                                 
121082 Richard      Debank                                                      
Sales Rep. III       10/01/1981  $28,510                                        
M 07/05/1953 US                                                                 
121083 Tingmei      Sutton                                                      
Sales Rep. I         03/01/2011  $27,245                                        
F 03/11/1963 US                                                                 
121084 Tulsidas     Ould                                                        
