120102,Tom,Zhou,M,108255,Sales Manager,AU,4971,12205
120103,Wilson,Dawes,M,87975,Sales Manager,AU,-2535,6575
120121,Irenie,Elvish,F,26600,Sales Rep. II,AU,-4169,6575
120122,Christina,Ngan,F,27475,Sales Rep. II,AU,-523,8217
120123,Kimiko,Hotstone,F,26190,Sales Rep. I,AU,3193,10866
120124,Lucian,Daymond,M,26480,Sales Rep. I,AU,1228,8460
120125,Fong,Hofmeister,M,32040,Sales Rep. IV,AU,-391,8460
120126,Satyakam,Denny,M,26780,Sales Rep. II,AU,11951,18475
120127,Sharryn,Clarkson,F,28100,Sales Rep. II,AU,8404,15645
120128,Monica,Kletschkus,F,30890,Sales Rep. IV,AU,11152,18567
120129,Alvin,Roebuck,M,30070,Sales Rep. III,AU,3248,10866
120130,Kevin,Lyon,M,26955,Sales Rep. I,AU,10575,18383
120131,Marinus,Surawski,M,26910,Sales Rep. I,AU,8668,17167
120132,Fancine,Kaiser,F,28525,Sales Rep. III,AU,-2462,8309
120133,Petrea,Soltau,F,27440,Sales Rep. II,AU,11069,18536
120134,Sian,Shannan,M,28015,Sales Rep. II,AU,-2400,6575
120135,Alexei,Platts,M,32490,Sales Rep. IV,AU,4774,15249
120136,Atul,Leyden,M,26605,Sales Rep. I,AU,8659,17198
120137,Marina,Iyengar,F,29715,Sales Rep. III,AU,8471,18322
120138,Shani,Duckett,F,25795,Sales Rep. I,AU,8592,18444
120139,Fang,Wilson,F,26810,Sales Rep. II,AU,11187,18506
120140,Michael,Minas,M,26970,Sales Rep. I,AU,11903,18536
120141,Amanda,Liebman,F,27465,Sales Rep. II,AU,11759,18383
120142,Vincent,Eastley,M,29695,Sales Rep. III,AU,11122,18444
120143,Phu,Sloey,M,26790,Sales Rep. II,AU,1232,9770
120144,Viney,Barbis,M,30265,Sales Rep. III,AU,11023,18536
120145,Sandy,Aisbitt,M,26060,Sales Rep. II,AU,2943,10744
120146,Wendall,Cederlund,M,25985,Sales Rep. I,AU,1370,8979
120147,Skev,Rusli,F,26580,Sales Rep. II,AU,11706,18536
120148,Michael,Zubak,M,28480,Sales Rep. III,AU,-2301,8187
120149,Judy,Chantharasy,F,26390,Sales Rep. I,AU,6899,13515
120150,John,Filo,M,29965,Sales Rep. III,AU,-541,9709
120151,Julianna,Phaiyakounh,F,26520,Sales Rep. II,AU,-4058,6575
120152,Sean,Dives,M,26515,Sales Rep. I,AU,8521,17988
120153,Samantha,Waal,F,27260,Sales Rep. I,AU,8527,15341
120154,Caterina,Hayawardhana,F,30490,Sales Rep. III,AU,-4182,6575
120155,Narelle,James,F,29990,Sales Rep. III,AU,10339,18353
120156,Gerry,Snellings,F,26445,Sales Rep. I,AU,11932,18322
120157,Leonid,Karavdic,M,27860,Sales Rep. II,AU,11009,18597
120158,Daniel,Pilgrim,M,36605,Sales Rep. III,AU,3117,11504
120159,Lynelle,Phoumirath,F,30765,Sales Rep. IV,AU,2976,11139
120160,Chuck,Segrave,M,27115,Sales Rep. I,AU,-479,6848
120161,Rosette,Martines,F,30785,Sales Rep. III,AU,11754,18536
120162,Randal,Scordia,M,27215,Sales Rep. I,AU,11936,18294
120163,Brett,Magrath,M,26735,Sales Rep. II,AU,3064,12784
120164,Ranj,Stamalis,F,27450,Sales Rep. II,AU,1425,9528
120165,Tadashi,Pretorius,M,27050,Sales Rep. I,AU,10305,18322
120166,Fadi,Nowd,M,30660,Sales Rep. IV,AU,-4218,6575
120167,Kimiko,Tilley,F,25185,Sales Rep. I,AU,-607,6606
120168,Selina,Barcoe,F,25275,Sales Rep. I,AU,10310,18567
120169,Cos,Tannous,M,28135,Sales Rep. III,AU,10228,18383
120170,Alban,Kingston,M,28830,Sales Rep. III,AU,6630,13423
120171,Alena,Moody,F,26205,Sales Rep. II,AU,10427,18506
120172,Edwin,Comber,M,28345,Sales Rep. III,AU,-4292,6575
120173,Hernani,Osborn,M,26715,Sales Rep. I,AU,-677,7822
120174,Doungkamol,Simms,F,26850,Sales Rep. I,AU,-4374,6575
120175,Andrew,Conolly,M,25745,Sales Rep. I,AU,11918,18536
120176,Koavea,Pa,M,26095,Sales Rep. I,AU,11270,18567
120177,Franca,Kierce,F,28745,Sales Rep. III,AU,8495,15372
120178,Billy,Plested,M,26165,Sales Rep. II,AU,-404,6665
120179,Matsuoka,Wills,M,28510,Sales Rep. III,AU,6648,17532
120180,Vino,George,M,26970,Sales Rep. II,AU,-553,8370
120198,Meera,Body,F,28025,Sales Rep. III,AU,11708,18597
120261,Harry,Highpoint,M,243190,Chief Sales Officer,US,4800,11535
121018,Julienne,Magolan,F,27560,Sales Rep. II,US,-4381,6575
121019,Scott,Desanctis,M,31320,Sales Rep. IV,US,11133,17684
121020,Cherda,Ridley,F,31750,Sales Rep. IV,US,10280,16922
